subset,model,seed,dim,sev,one_minus_q,rmse,score,ece,cov90,rmse_base
FD001,lstm,2,timeliness,2,0.38461536169052124,18.759119033813477,587.8239135742188,0.056999999999999995,0.77,14.375961303710938
FD001,lstm,2,timeliness,3,0.5384615659713745,18.896574020385742,630.7130737304688,0.08000000000000002,0.72,14.375961303710938
FD001,lstm,2,timeliness,4,0.7692307829856873,19.157564163208008,767.5,0.08100000000000002,0.74,14.375961303710938
FD001,lstm,2,timeliness,5,1.0,24.29868507385254,2153.36474609375,0.08500000000000003,0.76,14.375961303710938
FD001,lstm,2,consistency,0,0.0,14.375961303710938,253.2745361328125,0.06799999999999998,0.88,14.375961303710938
FD001,lstm,2,consistency,1,0.052941203117370605,14.772455215454102,257.2197265625,0.16799999999999998,0.81,14.375961303710938
FD001,lstm,2,consistency,2,0.17205888032913208,20.00152015686035,547.0103759765625,0.2919999999999999,0.57,14.375961303710938
FD001,lstm,2,consistency,3,0.2911764979362488,25.738513946533203,1676.18017578125,0.311,0.49,14.375961303710938
FD001,lstm,2,consistency,4,0.4102941155433655,21.873567581176758,846.6587524414062,0.255,0.59,14.375961303710938
FD001,lstm,2,consistency,5,0.529411792755127,42.674556732177734,15161.88671875,0.41100000000000003,0.25,14.375961303710938
FD001,lstm,2,drift,0,0.0,14.375961303710938,253.2745361328125,0.06799999999999998,0.88,14.375961303710938
FD001,lstm,2,drift,1,0.10000008344650269,14.696466445922852,251.21893310546875,0.09699999999999999,0.89,14.375961303710938
FD001,lstm,2,drift,2,0.3250000476837158,19.099987030029297,456.7502136230469,0.22199999999999998,0.72,14.375961303710938
FD001,lstm,2,drift,3,0.5500000417232513,28.02967071533203,1584.990234375,0.35200000000000004,0.41,14.375961303710938
FD001,lstm,2,drift,4,0.7750000208616257,37.62083435058594,4596.623046875,0.441,0.21,14.375961303710938
FD001,lstm,2,drift,5,1.0,45.64097213745117,9062.7431640625,0.475,0.08,14.375961303710938
FD001,lstm,3,accuracy,0,0.0,16.12066078186035,375.9866638183594,0.08399999999999998,0.89,16.12066078186035
FD001,lstm,3,accuracy,1,0.050000011920928955,16.22460174560547,387.59564208984375,0.07699999999999999,0.9,16.12066078186035
FD001,lstm,3,accuracy,2,0.18750005960464478,16.645343780517578,440.38970947265625,0.07899999999999997,0.87,16.12066078186035
FD001,lstm,3,accuracy,3,0.3250000476837158,16.440950393676758,343.19384765625,0.06799999999999998,0.84,16.12066078186035
FD001,lstm,3,accuracy,4,0.46250003576278687,17.940706253051758,457.3415832519531,0.06499999999999997,0.83,16.12066078186035
FD001,lstm,3,accuracy,5,0.6000000238418579,18.921316146850586,513.0499267578125,0.07399999999999998,0.78,16.12066078186035
FD001,lstm,3,accuracy_bias,0,0.0,16.12066078186035,375.9866638183594,0.08399999999999998,0.89,16.12066078186035
FD001,lstm,3,accuracy_bias,1,0.050000011920928955,16.071216583251953,311.14031982421875,0.08799999999999998,0.87,16.12066078186035
FD001,lstm,3,accuracy_bias,2,0.18750005960464478,23.138708114624023,1160.1829833984375,0.22199999999999998,0.69,16.12066078186035
FD001,lstm,3,accuracy_bias,3,0.3250000476837158,31.4199161529541,3169.24658203125,0.354,0.41,16.12066078186035
FD001,lstm,3,accuracy_bias,4,0.46250003576278687,35.37258529663086,4276.34326171875,0.38099999999999995,0.33,16.12066078186035
FD001,lstm,3,accuracy_bias,5,0.6000000238418579,40.42011260986328,6364.35009765625,0.43900000000000006,0.16,16.12066078186035
FD001,lstm,3,completeness_MCAR,0,0.0,16.12066078186035,375.9866638183594,0.08399999999999998,0.89,16.12066078186035
FD001,lstm,3,completeness_MCAR,1,0.0503922700881958,15.915327072143555,356.2633972167969,0.08899999999999998,0.88,16.12066078186035
FD001,lstm,3,completeness_MCAR,2,0.162725567817688,15.884498596191406,312.2919921875,0.06799999999999998,0.87,16.12066078186035
FD001,lstm,3,completeness_MCAR,3,0.276039183139801,16.77777671813965,391.4014892578125,0.06799999999999998,0.84,16.12066078186035
FD001,lstm,3,completeness_MCAR,4,0.388568639755249,18.14239501953125,510.808349609375,0.07199999999999998,0.85,16.12066078186035
FD001,lstm,3,completeness_MCAR,5,0.499666690826416,17.90679931640625,430.15802001953125,0.07899999999999997,0.79,16.12066078186035
FD001,lstm,3,completeness_MAR,0,0.0,16.12066078186035,375.9866638183594,0.08399999999999998,0.89,16.12066078186035
FD001,lstm,3,completeness_MAR,1,0.05029416084289551,16.17551612854004,378.4723205566406,0.06699999999999998,0.92,16.12066078186035
FD001,lstm,3,completeness_MAR,2,0.16266673803329468,17.65703773498535,497.4697570800781,0.08699999999999998,0.84,16.12066078186035
FD001,lstm,3,completeness_MAR,3,0.27568626403808594,17.631702423095703,490.4990234375,0.06599999999999998,0.88,16.12066078186035
FD001,lstm,3,completeness_MAR,4,0.3881961703300476,17.030977249145508,415.8811340332031,0.059999999999999984,0.84,16.12066078186035
FD001,lstm,3,completeness_MAR,5,0.5003921985626221,18.697938919067383,514.2454223632812,0.06699999999999998,0.83,16.12066078186035
FD001,lstm,3,completeness_MNAR,0,0.0,16.12066078186035,375.9866638183594,0.08399999999999998,0.89,16.12066078186035
FD001,lstm,3,completeness_MNAR,1,0.05043137073516846,16.157411575317383,364.5544128417969,0.08499999999999999,0.89,16.12066078186035
FD001,lstm,3,completeness_MNAR,2,0.16396087408065796,16.21955680847168,374.97393798828125,0.07099999999999998,0.87,16.12066078186035
FD001,lstm,3,completeness_MNAR,3,0.27611762285232544,18.06282615661621,740.712890625,0.068,0.83,16.12066078186035
FD001,lstm,3,completeness_MNAR,4,0.38972556591033936,19.492399215698242,818.8438720703125,0.06699999999999999,0.84,16.12066078186035
FD001,lstm,3,completeness_MNAR,5,0.5028039813041687,33.25603485107422,13793.4990234375,0.122,0.79,16.12066078186035
FD001,lstm,3,timeliness,0,0.0,16.12066078186035,375.9866638183594,0.08399999999999998,0.89,16.12066078186035
FD001,lstm,3,timeliness,1,0.15384620428085327,16.290746688842773,378.0247802734375,0.06400000000000002,0.88,16.12066078186035
FD001,lstm,3,timeliness,2,0.38461536169052124,18.344030380249023,549.7261352539062,0.06799999999999999,0.82,16.12066078186035
FD001,lstm,3,timeliness,3,0.5384615659713745,19.966453552246094,658.5172729492188,0.06200000000000001,0.77,16.12066078186035
FD001,lstm,3,timeliness,4,0.7692307829856873,20.20191192626953,1973.597412109375,0.077,0.77,16.12066078186035
FD001,lstm,3,timeliness,5,1.0,23.364519119262695,1352.338134765625,0.07800000000000003,0.74,16.12066078186035
FD001,lstm,3,consistency,0,0.0,16.12066078186035,375.9866638183594,0.08399999999999998,0.89,16.12066078186035
FD001,lstm,3,consistency,1,0.052941203117370605,16.88104820251465,331.81195068359375,0.14699999999999996,0.8,16.12066078186035
FD001,lstm,3,consistency,2,0.17205888032913208,22.61488151550293,853.195068359375,0.281,0.57,16.12066078186035
FD001,lstm,3,consistency,3,0.2911764979362488,26.886945724487305,1468.875,0.32999999999999996,0.41,16.12066078186035
