subset,model,dim,elasticity,ci_lo,ci_hi,elasticity_rel,rel_ci_lo,rel_ci_hi
FD004,lstm,completeness_MNAR,21.088211652566113,19.824117142657308,22.039853638912156,1.3959958103698322,1.3123153793869866,1.4589925332687816
FD004,pinn,completeness_MNAR,21.64673256525201,20.286034061217716,22.59343448579745,1.4096257615124497,1.32101766977591,1.4712745767159199
FD004,transformer,completeness_MNAR,25.302437510104614,23.877592928877583,26.881315043730055,1.537046432441285,1.4504914402796127,1.6329584598636044
FD004,lstm,consistency,48.2634412676078,46.40355947690458,49.67682603034556,3.194939566884155,3.0718192553859107,3.288502702522656
FD004,pinn,consistency,20.487995802818645,16.050209141184318,24.925782464452972,1.3341693300988902,1.0451826027265667,1.6231560574712136
FD004,transformer,consistency,54.56529504622565,48.28875295905959,60.59857356101807,3.3146763845346414,2.9333954656787617,3.6811797782643154
FD004,lstm,drift,52.599756935420814,50.45936295652583,54.49866275454487,3.4819946573982623,3.340305021676372,3.6076982785235514
FD004,pinn,drift,55.177930917175914,53.502218117702526,57.48697501383103,3.5931627396118255,3.484041054668686,3.743526681758833
FD004,transformer,drift,39.78440648608447,34.75977447003454,43.97989948210723,2.416782178863574,2.111551004534399,2.67164566935906
FD004,lstm,timeliness,14.914957925984536,14.194903189615443,15.551071149016947,0.9873392357565376,0.9396731077904001,1.0294486098895517
FD004,pinn,timeliness,14.149438497002373,13.325781982928394,14.974212417820564,0.9214052493228249,0.8677690971979555,0.9751141664863893
FD004,transformer,timeliness,11.096661567850498,10.503277611363291,11.796838243993923,0.6740885761722174,0.6380422982979089,0.7166221882684852
